Имя:	Цена:	Адрес:	URL:
Апартаменты просторный для большой семьи	3 800 ₽ за сутки	СПб,Лиговский проспект, 50, к 13	https://spb.sutochno.ru/hotels/104115

Апартаменты стандарт	3 900 ₽ за сутки	Москва,3-я Хорошёвская улица, 23А	https://www.sutochno.ru/hotels/114177

Апартаменты стандарт	3 500 ₽ за сутки	Москва,Новоалексеевская улица, 16, к 2	https://www.sutochno.ru/hotels/51711

Апартаменты стандарт	3 800 ₽ за сутки	Москва,Ленинградский проспект, 29, к 1	https://www.sutochno.ru/hotels/52379

Апартаменты студия	1 600 ₽ за сутки	СПб,Политехническая улица, 6	https://spb.sutochno.ru/hotels/44203

Апартаменты студия	4 500 ₽ за сутки	СПб,Херсонская улица, 43/12	https://spb.sutochno.ru/hotels/72049

Апартаменты студия	2 500 ₽ за сутки	СПб,Детский переулок, 2	https://spb.sutochno.ru/hotels/53363

Апартаменты студия	5 000 ₽ за сутки	СПб,Черняховского улица, 52	https://spb.sutochno.ru/hotels/81437

Апартаменты студия вид на улицу	6 500 ₽ за сутки	СПб,Коломенская улица, 7	https://spb.sutochno.ru/hotels/66633

Атмосферная студия 8 в историческом центре	3 300 ₽ за сутки	СПб,Можайская улица, 28	https://spb.sutochno.ru/977035

Видовая 2-х комнатная квартира в доме с историей в сердце города	4 498 ₽ за сутки	СПб,Константина Заслонова улица, 40	https://spb.sutochno.ru/1515789

Волшебные апартаменты в здании старинной фабрики 	6 500 ₽ за сутки	Москва,Нижняя Красносельская улица, 35с1	https://www.sutochno.ru/1076557

Гостевой дом "Логос"	 от 1 600₽ до 3 900₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1597014/

Двухкомнатная просторная тихая квартира. Парковка	4 000 ₽ за сутки	Москва,Большая Спасская улица, 10, к 1	https://www.sutochno.ru/981367

Двухместный номер с 1 кроватью Стандарт	7 500 ₽ за сутки	СПб,Садовая улица, 28-30, к 8	https://spb.sutochno.ru/hotels/53585

Двухместный номер с 1 кроватью Стандарт	5 500 ₽ за сутки	Москва,Измайловское шоссе, 71, к 3В	https://www.sutochno.ru/hotels/100885

Двухместный номер с 1 кроватью стандарт	2 800 ₽ за сутки	СПб,6-я Васильевского острова линия, 45Б	https://spb.sutochno.ru/hotels/95603

Двухместный номер с 1 кроватью стандарт	6 500 ₽ за сутки	СПб,Ломоносова улица, 3	https://spb.sutochno.ru/hotels/52387

Двухместный номер с 1 кроватью стандарт (широкая кровать, без кондиционера)	2 700 ₽ за сутки	Москва,Измайловское шоссе, 71, к 4Г-Д	https://www.sutochno.ru/hotels/63957

Двухместный номер с 1 кроватью стандарт плюс (широкая кровать, с кондиционером)	2 800 ₽ за сутки	Москва,Измайловское шоссе, 71, к 4Г-Д	https://www.sutochno.ru/hotels/63957

Двухместный номер с 1 кроватью стандарт с видом на город	5 000 ₽ за сутки	СПб,Невский проспект, 146	https://spb.sutochno.ru/hotels/82027

Двухуровневая студия в историческом центре города	2 000 ₽ за сутки	СПб,Кирочная улица, 8	https://spb.sutochno.ru/hotels/106979

Дизайнерский апартамент в самом центре Москвы	8 000 ₽ за сутки	Москва,Красная Пресня улица, 21	https://www.sutochno.ru/920959

Дизайнерский номер	4 500 ₽ за сутки	Москва,Малые Каменщики улица, 16	https://www.sutochno.ru/hotels/99111

Дом с террасой у Петропавловки, отдельный вход	6 000 ₽ за сутки	СПб,Малая Посадская улица, 16	https://spb.sutochno.ru/1121079

Доходный дом Малого Мраморного Дворца	7 000 ₽ за сутки	СПб,Гагаринская улица, 3Б	https://spb.sutochno.ru/1470557

Душевные апартаменты для семьи	5 000 ₽ за сутки	СПб,Тосина улица, 6, к 1	https://spb.sutochno.ru/1522426

Евродвушка для 6 гостей на ЦСКА
⭐⭐⭐⭐⭐	7 000 ₽ за сутки	Москва,Ходынский бульвар, 2	https://www.sutochno.ru/1321825

Индустриальная романтика Васильевского острова	3 000 ₽ за сутки	СПб,26-я Васильевского острова линия, 7	https://spb.sutochno.ru/933997

Квартира с тремя балконами в центре 	5 000 ₽ за сутки	Москва,Тверская улица, 15	https://www.sutochno.ru/987875

Комната	от 1180₽/сутки	Рядом со станцией метро Таганская	https://kvartirka.com/russia/moskva/room-332418.html

Легендарная Таганка	3 500 ₽ за сутки	Москва,Маяковского переулок, 3	https://www.sutochno.ru/946407

Лучшая квартира в Хамовниках в 5-ти минутах ходьбы от метро Спортивная	9 750 ₽ за сутки	Москва,Ефремова улица, 21	https://www.sutochno.ru/1193325

Мини-отель "На берегах Невы"	 от 2 000₽ до 4 200₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1343997/

Новый дом напротив Кремля	12 950 ₽ за сутки	Москва,Софийская набережная, 34c4	https://www.sutochno.ru/984213

Одноместный номер студия	3 300 ₽ за сутки	Москва,3-я Хорошёвская улица, 23А	https://www.sutochno.ru/hotels/114177

Отель "365 СПб"	 от 1 700₽ до 8 500₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1124633/

Отель "Art Nuvo Palace"	 от 3 000₽ до 10 350₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1579045/

Отель "The Bridge"	 от 5 000₽ до 29 800₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1592827/

Представительские апартаменты с видом на Неву	8 500 ₽ за сутки	СПб,Петровская набережная, 4	https://spb.sutochno.ru/1000713

Савеловский сити с камином	4 490 ₽ за сутки	Москва,Новодмитровская улица, 2, к 4	https://www.sutochno.ru/1344699

Современная студия 	7 500 ₽ за сутки	Москва,2-й Лесной переулок, 8	https://www.sutochno.ru/1056595

Студия на Лиговском с кухней и душевой	2 800 ₽ за сутки	СПб,Лиговский проспект, 50, к 7	https://spb.sutochno.ru/1027291

Трехкомнатный loft с террасой на крыше и видом на залив	12 900 ₽ за сутки	СПб,КИМа проспект, 28Б	https://spb.sutochno.ru/1103681

Уютная студия	2 300 ₽ за сутки	СПб,Лиговский проспект, 50, к 13	https://spb.sutochno.ru/hotels/104115

Уютная трехкомнатная квартира на Охотном ряду	8 590 ₽ за сутки	Москва,Брюсов переулок, 8-10с1	https://www.sutochno.ru/1532843

Хостел Скандинавия	 от 560₽ до 3 850₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1326454/

Центр притяжения, 5 минут пешком до Кремля	8 000 ₽ за сутки	Москва,Камергерский переулок, 2	https://www.sutochno.ru/1078815

Шикарные апартаменты для большой семьи	3 500 ₽ за сутки	СПб,Комендантский проспект, 57, к 1	https://spb.sutochno.ru/1420715
